,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Country_name,Continent
289,PISAMATH,BOY,MEANSCORE,A,2012,492.422,Spain,EU
290,PISAMATH,BOY,MEANSCORE,A,2015,494.0,Spain,EU
291,PISAMATH,BOY,MEANSCORE,A,2018,485.0,Spain,EU
292,PISAMATH,GIRL,MEANSCORE,A,2003,481.0,Spain,EU
293,PISAMATH,GIRL,MEANSCORE,A,2006,476.0,Spain,EU
294,PISAMATH,GIRL,MEANSCORE,A,2009,474.0,Spain,EU
295,PISAMATH,GIRL,MEANSCORE,A,2012,475.965,Spain,EU
296,PISAMATH,GIRL,MEANSCORE,A,2015,478.0,Spain,EU
297,PISAMATH,GIRL,MEANSCORE,A,2018,478.0,Spain,EU
298,PISAMATH,BOY,MEANSCORE,A,2003,512.0,Sweden,EU
299,PISAMATH,BOY,MEANSCORE,A,2006,505.0,Sweden,EU
300,PISAMATH,BOY,MEANSCORE,A,2009,493.0,Sweden,EU
301,PISAMATH,BOY,MEANSCORE,A,2012,476.916,Sweden,EU
302,PISAMATH,BOY,MEANSCORE,A,2015,493.0,Sweden,EU
303,PISAMATH,BOY,MEANSCORE,A,2018,502.0,Sweden,EU
304,PISAMATH,GIRL,MEANSCORE,A,2003,506.0,Sweden,EU
305,PISAMATH,GIRL,MEANSCORE,A,2006,500.0,Sweden,EU
306,PISAMATH,GIRL,MEANSCORE,A,2009,495.0,Sweden,EU
307,PISAMATH,GIRL,MEANSCORE,A,2012,479.629,Sweden,EU
308,PISAMATH,GIRL,MEANSCORE,A,2015,495.0,Sweden,EU
309,PISAMATH,GIRL,MEANSCORE,A,2018,503.0,Sweden,EU
310,PISAMATH,BOY,MEANSCORE,A,2003,535.0,Switzerland,EU
311,PISAMATH,BOY,MEANSCORE,A,2006,536.0,Switzerland,EU
312,PISAMATH,BOY,MEANSCORE,A,2009,544.0,Switzerland,EU
313,PISAMATH,BOY,MEANSCORE,A,2012,537.369,Switzerland,EU
314,PISAMATH,BOY,MEANSCORE,A,2015,527.0,Switzerland,EU
315,PISAMATH,BOY,MEANSCORE,A,2018,519.0,Switzerland,EU
316,PISAMATH,GIRL,MEANSCORE,A,2003,518.0,Switzerland,EU
317,PISAMATH,GIRL,MEANSCORE,A,2006,523.0,Switzerland,EU
318,PISAMATH,GIRL,MEANSCORE,A,2009,524.0,Switzerland,EU
319,PISAMATH,GIRL,MEANSCORE,A,2012,524.473,Switzerland,EU
320,PISAMATH,GIRL,MEANSCORE,A,2015,515.0,Switzerland,EU
321,PISAMATH,GIRL,MEANSCORE,A,2018,512.0,Switzerland,EU
322,PISAMATH,BOY,MEANSCORE,A,2003,430.0,Turkey,AS
323,PISAMATH,BOY,MEANSCORE,A,2006,427.0,Turkey,AS
324,PISAMATH,BOY,MEANSCORE,A,2009,451.0,Turkey,AS
325,PISAMATH,BOY,MEANSCORE,A,2012,451.934,Turkey,AS
326,PISAMATH,BOY,MEANSCORE,A,2015,423.0,Turkey,AS
327,PISAMATH,BOY,MEANSCORE,A,2018,456.0,Turkey,AS
328,PISAMATH,GIRL,MEANSCORE,A,2003,415.0,Turkey,AS
329,PISAMATH,GIRL,MEANSCORE,A,2006,421.0,Turkey,AS
330,PISAMATH,GIRL,MEANSCORE,A,2009,440.0,Turkey,AS
331,PISAMATH,GIRL,MEANSCORE,A,2012,443.948,Turkey,AS
332,PISAMATH,GIRL,MEANSCORE,A,2015,418.0,Turkey,AS
333,PISAMATH,GIRL,MEANSCORE,A,2018,451.0,Turkey,AS
334,PISAMATH,BOY,MEANSCORE,A,2006,504.0,United Kingdom,EU
335,PISAMATH,BOY,MEANSCORE,A,2009,503.0,United Kingdom,EU
336,PISAMATH,BOY,MEANSCORE,A,2012,500.295,United Kingdom,EU
337,PISAMATH,BOY,MEANSCORE,A,2015,498.0,United Kingdom,EU
338,PISAMATH,BOY,MEANSCORE,A,2018,508.0,United Kingdom,EU
339,PISAMATH,GIRL,MEANSCORE,A,2006,487.0,United Kingdom,EU
340,PISAMATH,GIRL,MEANSCORE,A,2009,482.0,United Kingdom,EU
